Watching for file changes with StatReloader
Waiting for apps ready_event.
Apps ready_event triggered. Sending autoreload_started signal.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\SilverTech\..\Frontend_UI with glob **/*.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\Silvertech\user_level\templates with glob **/*.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\Silvertech\myapp1\templates with glob **/*.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\Silvertech\locale with glob **/*.mo.
Watching dir C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\corsheaders\locale with glob **/*.mo.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\Silvertech\myapp1\locale with glob **/*.mo.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\Silvertech\user_level\locale with glob **/*.mo.
File C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\SilverTech\myapp1\models.py first seen with mtime 1715642933.3921528
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\views\__init__.py first seen with mtime 1715481293.5213346
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\grpc\_common.py first seen with mtime 1712921480.873529
File C:\ProgramData\anaconda3\envs\django-back\Lib\asyncio\windows_utils.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\auth\version.py first seen with mtime 1712921482.3515387
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1715481293.4421666
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\protobuf\message.py first seen with mtime 1712921480.3701715
File C:\ProgramData\anaconda3\envs\django-back\Lib\getpass.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1715481293.4263217
File C:\ProgramData\anaconda3\envs\django-back\Lib\calendar.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\core\fromnumeric.py first seen with mtime 1712923111.5985363
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pyasn1\type\namedtype.py first seen with mtime 1712921480.1892266
File C:\ProgramData\anaconda3\envs\django-back\Lib\re\_parser.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\asyncio\queues.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\protobuf\internal\message_listener.py first seen with mtime 1712921480.3947937
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\core\_asarray.py first seen with mtime 1712923111.6088688
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\protobuf\internal\well_known_types.py first seen with mtime 1712921480.3947937
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\linalg\__init__.py first seen with mtime 1712923111.870051
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pkg_resources\_vendor\packaging\utils.py first seen with mtime 1710328835.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\backends\mysql\validation.py first seen with mtime 1715481293.410334
File C:\ProgramData\anaconda3\envs\django-back\Lib\urllib\parse.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\template\context.py first seen with mtime 1715481293.4896207
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\grpc\_observability.py first seen with mtime 1712921480.8801248
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1711677865.4675722
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1715481293.5213346
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\migrations\executor.py first seen with mtime 1715481293.4263217
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\grpc\aio\_interceptor.py first seen with mtime 1712921480.9619915
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\rsa\key.py first seen with mtime 1712921481.4552674
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\grpc\aio\_base_call.py first seen with mtime 1712921480.9619915
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\backends\mysql\features.py first seen with mtime 1715481293.410334
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1711677865.4707017
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\urllib3\contrib\__init__.py first seen with mtime 1712921479.9668007
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1711677865.4540513
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1715481293.4263217
File C:\ProgramData\anaconda3\envs\django-back\Lib\textwrap.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\grpc\_runtime_protos.py first seen with mtime 1712921480.8801248
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\middleware\common.py first seen with mtime 1715481293.4896207
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\lib\arraypad.py first seen with mtime 1712923111.8204305
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\duration.py first seen with mtime 1715481293.5054786
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pyasn1\__init__.py first seen with mtime 1712921480.1732244
File C:\ProgramData\anaconda3\envs\django-back\Lib\asyncio\locks.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\pathlib.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1715481293.5054786
File C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\SilverTech\myapp1\migrations\__init__.py first seen with mtime 1713169004.7075503
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\lib\utils.py first seen with mtime 1712923111.8452044
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\auth\transport\_http_client.py first seen with mtime 1712921482.3603168
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\ma\__init__.py first seen with mtime 1712923111.8791282
File C:\ProgramData\anaconda3\envs\django-back\Lib\bisect.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\views\i18n.py first seen with mtime 1715481293.5213346
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\lib\arraysetops.py first seen with mtime 1712923111.8204305
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1715481293.4263217
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1715481293.3643968
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\template\exceptions.py first seen with mtime 1715481293.4896207
File C:\ProgramData\anaconda3\envs\django-back\Lib\encodings\idna.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\pickle.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\__future__.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1715481293.3788998
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\models\base.py first seen with mtime 1715481293.4263217
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\protobuf\descriptor_pool.py first seen with mtime 1712921480.3701715
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\core\_multiarray_tests.cp312-win_amd64.pyd first seen with mtime 1712923111.6188853
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1715481293.3643968
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pkg_resources\_vendor\packaging\_structures.py first seen with mtime 1710328835.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1715481293.3643968
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\forms\formsets.py first seen with mtime 1715481293.4421666
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\urllib3\_collections.py first seen with mtime 1712921479.9586232
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\_typing\_char_codes.py first seen with mtime 1712923112.050629
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\random\_bounded_integers.cp312-win_amd64.pyd first seen with mtime 1712923111.9208007
File C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\SilverTech\function\server_use.py first seen with mtime 1715593807.6031673
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\protobuf\descriptor_database.py first seen with mtime 1712921480.3615863
